Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Accident_Severity,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident,lat,long,State
Foggy,Rural Road,Evening,3,78,14,0,Low,Wet,Car,44,23,Artificial Light,0,17.610267573506377,82.55797070312342,Andhra Pradesh
Clear,Rural Road,Afternoon,2,109,9,0,Low,Dry,Car,30,8,Artificial Light,0,17.54864896369163,80.09247766515793,Telangana
Clear,Highway,Morning,1,75,8,0,Moderate,Dry,Car,20,0,Artificial Light,1,16.67557647411632,81.1014031112518,Andhra Pradesh
Foggy,Highway,Afternoon,2,85,8,0,Low,Wet,Truck,47,26,Artificial Light,0,16.927989357396626,81.49149541222403,Andhra Pradesh
Foggy,Rural Road,Afternoon,1,104,1,0,Low,Icy,Bus,29,5,Artificial Light,0,18.123732248020758,80.54851747569501,Andhra Pradesh
Rainy,Highway,Morning,2,106,4,0,Moderate,Dry,Bike,30,6,Daylight,1,15.672191327601713,79.33690829482026,Andhra Pradesh
Foggy,Highway,Night,2,41,5,0,High,Wet,Bus,42,20,Daylight,1,14.050344622373224,77.8537025226804,Andhra Pradesh
Clear,Highway,Night,3,118,19,0,Moderate,Icy,Bus,55,30,Daylight,1,15.146296405467538,78.79855846954696,Andhra Pradesh
Rainy,City Road,Night,1,81,1,0,Moderate,Wet,Truck,65,42,Artificial Light,1,15.697666511239094,79.64300292762796,Andhra Pradesh
Clear,Highway,Night,3,122,18,1,High,Dry,Truck,36,11,Artificial Light,1,15.800393652327351,78.16060878117185,Andhra Pradesh
Rainy,Rural Road,Night,3,46,15,0,Moderate,Wet,Truck,29,4,Daylight,1,14.123052286351903,78.03148596161134,Andhra Pradesh
Foggy,Rural Road,Afternoon,2,83,5,1,High,Dry,Truck,43,22,Artificial Light,1,14.640478786098388,78.00749743713003,Andhra Pradesh
Clear,City Road,Evening,1,52,9,1,Moderate,Dry,Truck,63,40,Artificial Light,1,18.218223515293833,82.25020390716881,Andhra Pradesh
Clear,City Road,Afternoon,3,62,12,0,Low,Icy,Bike,66,43,Artificial Light,0,14.597665960187575,79.2434929683258,Andhra Pradesh
Clear,Rural Road,Evening,2,113,2,1,High,Wet,Car,27,7,Artificial Light,1,18.9160227343446,78.66921071706902,Telangana
Rainy,Rural Road,Morning,3,116,10,0,Moderate,Wet,Bus,58,35,Daylight,1,16.919380554860403,83.91796358163016,Andhra Pradesh
Rainy,Highway,Night,3,96,18,0,High,Icy,Bus,23,0,Artificial Light,1,18.446970565939488,81.59235623936293,Telangana
Clear,Highway,Night,1,39,7,0,Low,Dry,Car,53,31,Daylight,0,18.06378182599378,83.18050525359659,Andhra Pradesh
Rainy,Highway,Morning,2,100,1,1,High,Icy,Car,29,9,Daylight,1,16.414097438167,78.40517727304453,Andhra Pradesh
Foggy,City Road,Morning,3,117,16,1,High,Wet,Bus,28,4,Daylight,1,17.843417718488123,83.05258430167022,Andhra Pradesh
Foggy,Highway,Evening,2,97,11,0,Low,Dry,Truck,56,34,Daylight,0,16.91363578626679,82.26559579584274,Andhra Pradesh
Rainy,Highway,Morning,2,70,11,1,High,Dry,Bike,24,6,Daylight,1,17.35493305633338,82.75826501545632,Andhra Pradesh
Rainy,Rural Road,Night,2,99,17,0,Moderate,Dry,Truck,47,23,Daylight,1,14.580561727253357,78.43224832948799,Andhra Pradesh
Rainy,City Road,Night,3,126,1,0,High,Dry,Truck,20,1,Daylight,1,16.897263227723737,83.24185526998544,Andhra Pradesh
Clear,Highway,Afternoon,1,46,2,0,Low,Dry,Truck,53,30,Artificial Light,0,14.925580464211443,79.22794152605967,Andhra Pradesh
Rainy,Rural Road,Evening,1,43,4,0,Low,Wet,Truck,63,38,Artificial Light,0,16.11531052632558,77.92047079364022,Andhra Pradesh
Clear,Rural Road,Morning,2,108,10,0,Low,Wet,Car,44,22,Daylight,0,14.941691101073657,78.28025352069982,Andhra Pradesh
Rainy,Rural Road,Evening,3,92,17,0,Moderate,Icy,Bike,29,8,Artificial Light,1,17.472347308209766,80.88154765474324,Andhra Pradesh
Clear,Rural Road,Night,3,86,2,0,Moderate,Icy,Truck,23,2,Artificial Light,1,17.133885243534564,83.3308921322209,Andhra Pradesh
Clear,Highway,Morning,2,94,6,0,Low,Dry,Truck,42,20,Daylight,0,19.389503466623175,78.62159169206892,Telangana
Clear,City Road,Afternoon,3,94,14,0,Moderate,Wet,Bus,29,10,Artificial Light,1,16.143077343424476,79.25869718588521,Andhra Pradesh
Clear,Highway,Afternoon,1,87,9,1,High,Icy,Car,58,39,Artificial Light,1,16.401449967462245,80.44451738043342,Telangana
Rainy,Rural Road,Night,3,104,15,0,High,Wet,Bike,64,46,Artificial Light,1,15.706351196917893,78.26271875294802,Andhra Pradesh
Clear,City Road,Night,2,72,7,0,Low,Wet,Car,28,10,Artificial Light,0,17.791450086702106,82.28699643054976,Andhra Pradesh
Clear,Rural Road,Morning,3,41,18,0,Low,Wet,Car,41,18,Artificial Light,0,16.291807061096975,78.6667010098645,Telangana
Clear,Highway,Night,2,55,2,0,Low,Wet,Car,66,46,Daylight,0,19.08982372526989,81.24866481664894,Telangana
Rainy,Rural Road,Afternoon,1,72,3,0,Low,Icy,Bike,31,10,Daylight,0,18.40477350479745,81.65087916247013,Andhra Pradesh
Rainy,Rural Road,Morning,1,31,17,0,Low,Icy,Bus,69,49,Daylight,0,15.879562864891703,79.36747633966714,Andhra Pradesh
Clear,Rural Road,Night,1,97,9,0,Moderate,Wet,Bike,29,10,Daylight,1,19.677573779126313,78.67072187573547,Telangana
Foggy,Rural Road,Night,1,45,1,1,High,Icy,Bus,54,32,Daylight,1,19.319876463661373,77.81892844615018,Telangana
Clear,Highway,Afternoon,2,49,18,0,Low,Wet,Truck,21,0,Artificial Light,0,15.854944323784965,79.05876345476304,Andhra Pradesh
Rainy,Highway,Afternoon,3,102,3,1,Low,Dry,Bike,18,0,Daylight,0,18.246086294030405,81.09100462179639,Andhra Pradesh
Rainy,City Road,Night,1,116,7,0,Moderate,Dry,Bus,58,35,Daylight,1,17.934929981223824,82.16416500331457,Andhra Pradesh
Clear,Rural Road,Night,2,66,2,0,Low,Dry,Bike,31,10,Artificial Light,0,14.958492852645648,77.88704075356775,Andhra Pradesh
Clear,City Road,Night,2,105,16,0,Moderate,Wet,Bike,54,32,Daylight,1,15.37227407910018,77.93515032249782,Andhra Pradesh
Foggy,Highway,Morning,3,33,10,0,Low,Wet,Truck,63,38,Daylight,0,15.277784096223751,78.88991985915274,Andhra Pradesh
Clear,Highway,Morning,1,109,15,0,Low,Icy,Bus,65,43,Daylight,0,18.157417967636015,83.40346950489068,Andhra Pradesh
Rainy,Rural Road,Morning,3,93,17,0,Moderate,Wet,Truck,38,16,Daylight,1,18.708494169479984,77.69538647376338,Telangana
Foggy,Highway,Afternoon,1,30,4,0,Moderate,Wet,Car,20,2,Artificial Light,1,15.677532451332274,79.10315558180989,Andhra Pradesh
Rainy,City Road,Afternoon,2,95,10,0,Moderate,Dry,Car,25,0,Artificial Light,1,18.258559112314014,83.038800600822,Andhra Pradesh
Rainy,Highway,Afternoon,3,67,11,0,Moderate,Dry,Bike,67,48,Artificial Light,1,16.261620912769697,79.11655676170896,Telangana
Rainy,Rural Road,Night,1,90,6,0,Moderate,Wet,Bus,65,41,Daylight,1,19.43415948403658,77.42182449797768,Telangana
Clear,Rural Road,Night,2,54,8,0,Low,Icy,Bike,39,21,Daylight,0,15.697906420798907,78.95216474857976,Andhra Pradesh
Foggy,Highway,Morning,2,95,16,0,Low,Dry,Bus,58,36,Daylight,0,16.997583577478355,83.79720376821008,Andhra Pradesh
Clear,City Road,Afternoon,2,69,5,0,Low,Dry,Bike,21,1,Artificial Light,0,18.051010593437997,81.87592629372477,Andhra Pradesh
Clear,Highway,Night,3,95,11,0,Moderate,Icy,Car,35,14,Daylight,1,16.52143059539072,82.40490067955338,Andhra Pradesh
Rainy,City Road,Night,2,59,19,1,High,Icy,Bus,20,0,Daylight,1,14.922840484523011,78.321542368184,Andhra Pradesh
Clear,City Road,Afternoon,1,105,5,0,Low,Icy,Car,64,41,Daylight,0,17.541087674609717,82.04232709198503,Andhra Pradesh
Rainy,Rural Road,Afternoon,3,114,4,0,Moderate,Dry,Car,21,0,Daylight,1,15.263801979308726,78.66784302783371,Andhra Pradesh
Clear,Rural Road,Night,2,48,19,0,Low,Dry,Bike,45,23,Artificial Light,0,18.46547908182077,81.3749051180409,Andhra Pradesh
Clear,City Road,Morning,3,125,1,0,Moderate,Wet,Bike,30,7,Daylight,1,17.82629249795042,82.58378229554906,Andhra Pradesh
Foggy,Rural Road,Morning,2,109,17,0,Low,Icy,Car,68,45,Daylight,0,17.344384467761355,83.2477237236625,Andhra Pradesh
Rainy,Rural Road,Afternoon,2,126,13,0,Moderate,Icy,Bus,69,50,Artificial Light,1,18.14050663788978,82.77061489863256,Andhra Pradesh
Foggy,Highway,Evening,2,118,19,0,Low,Dry,Truck,42,19,Daylight,0,17.416057233167738,81.39826522515133,Andhra Pradesh
Clear,City Road,Night,1,90,15,0,Moderate,Icy,Bike,31,10,Artificial Light,1,15.28218685576317,78.23796544832464,Andhra Pradesh
Foggy,Rural Road,Morning,3,86,11,0,Moderate,Icy,Bus,46,22,Daylight,1,18.243805474619897,81.87995192464122,Telangana
Clear,Rural Road,Morning,2,70,7,0,Low,Icy,Bus,38,13,Daylight,0,18.341382801557238,81.70755893973597,Andhra Pradesh
Clear,City Road,Night,1,47,19,0,Low,Icy,Car,32,12,Artificial Light,0,16.02440409839244,78.15993789993162,Telangana
Clear,City Road,Night,2,104,12,1,High,Wet,Truck,65,43,Daylight,1,17.516650087643505,78.23228416439447,Telangana
Clear,City Road,Afternoon,2,118,3,0,Low,Dry,Bike,18,0,Daylight,0,18.330003075495053,83.45357793930825,Andhra Pradesh
Foggy,Rural Road,Morning,2,123,18,1,High,Wet,Bike,63,45,Artificial Light,1,14.419536489115071,77.77683622528296,Andhra Pradesh
Rainy,Highway,Night,3,84,15,0,High,Wet,Bike,44,25,Daylight,1,17.94805837754584,83.7508278624076,Andhra Pradesh
Rainy,Rural Road,Morning,2,122,1,0,Moderate,Icy,Truck,50,32,Artificial Light,1,16.738281343992096,82.29337487256237,Andhra Pradesh
Foggy,Highway,Night,2,48,13,0,Low,Icy,Bike,32,13,Daylight,0,17.230210820580382,78.96167714444499,Telangana
Clear,Highway,Evening,2,92,5,0,High,Wet,Bus,55,31,Daylight,1,15.796795283155506,77.75438827740827,Andhra Pradesh
Rainy,Rural Road,Evening,3,87,9,0,Moderate,Dry,Bus,45,22,Daylight,1,18.48866060537143,81.31454922120443,Andhra Pradesh
Clear,Rural Road,Morning,3,121,13,0,Moderate,Wet,Truck,68,49,Artificial Light,1,16.87975065819184,80.63635246221962,Andhra Pradesh
Rainy,City Road,Evening,2,100,18,0,Moderate,Wet,Bike,56,32,Artificial Light,1,18.10480356890265,81.69435557415203,Andhra Pradesh
Foggy,Rural Road,Morning,1,87,3,0,Low,Dry,Truck,48,27,Artificial Light,0,17.851173547134877,82.28112924524459,Andhra Pradesh
Rainy,City Road,Morning,1,126,19,0,Moderate,Icy,Car,51,26,Daylight,1,16.16508918761439,77.52279459962965,Andhra Pradesh
Clear,Highway,Night,2,67,18,0,Low,Icy,Bus,26,1,Daylight,0,15.151834000604184,79.77433324499842,Andhra Pradesh
Rainy,Highway,Morning,3,105,19,0,Moderate,Icy,Bike,36,11,Artificial Light,1,17.781251511089284,81.838410943325,Telangana
Rainy,Highway,Morning,1,90,4,0,Moderate,Icy,Bus,64,45,Daylight,1,14.621512211533267,78.73830845236,Andhra Pradesh
Foggy,Highway,Afternoon,2,30,16,0,Low,Icy,Truck,58,36,Daylight,0,16.143826519379807,77.72394385571981,Andhra Pradesh
Foggy,City Road,Evening,2,107,17,1,High,Wet,Car,48,24,Daylight,1,14.863948964677032,77.5160592023248,Andhra Pradesh
Clear,Rural Road,Night,1,69,6,0,Moderate,Icy,Bus,22,4,Daylight,0,16.969508843449944,83.36604244682165,Andhra Pradesh
Foggy,Highway,Afternoon,2,121,9,0,Low,Dry,Bike,35,15,Artificial Light,0,18.155047387907633,80.50209278592179,Andhra Pradesh
Foggy,Rural Road,Night,1,32,14,0,Low,Icy,Bike,41,18,Artificial Light,0,16.982330428615523,81.31748576374014,Andhra Pradesh
Clear,City Road,Afternoon,3,68,15,0,Low,Dry,Car,18,0,Artificial Light,0,16.874248540821004,82.44442349459968,Andhra Pradesh
Clear,Rural Road,Afternoon,1,42,9,0,Low,Wet,Car,23,1,Artificial Light,0,17.334789564658294,81.81903408121516,Andhra Pradesh
Rainy,City Road,Night,3,98,4,0,High,Icy,Bike,65,46,Artificial Light,1,16.26324749752629,78.63380103480847,Andhra Pradesh
Clear,Rural Road,Morning,2,54,13,0,Low,Dry,Car,58,35,Daylight,1,17.15363939629398,77.70196330881112,Telangana
Clear,City Road,Morning,1,54,1,0,Low,Wet,Bus,66,46,Artificial Light,0,14.150567362250744,78.18459563840705,Andhra Pradesh
Clear,City Road,Night,1,46,17,0,High,Wet,Bus,60,42,Artificial Light,0,17.14080257228043,81.07500395145344,Andhra Pradesh
Foggy,Rural Road,Night,2,53,16,0,Low,Dry,Truck,41,23,Artificial Light,0,14.306244654914973,78.96028531605228,Andhra Pradesh
Foggy,City Road,Evening,3,115,10,0,Low,Icy,Bus,29,6,Daylight,0,16.307768709493853,77.5315174966869,Telangana
Rainy,Highway,Afternoon,3,33,11,1,High,Wet,Bike,34,12,Daylight,1,14.475321915796764,79.38887535548731,Andhra Pradesh
Foggy,Rural Road,Evening,1,75,17,0,Low,Dry,Bike,53,33,Artificial Light,0,16.655713039217538,83.84406867003324,Andhra Pradesh
Foggy,Highway,Night,3,66,2,0,Moderate,Wet,Car,26,4,Daylight,1,16.81254078466676,81.24033312315726,Telangana
Foggy,City Road,Afternoon,1,86,17,0,Low,Icy,Bike,69,47,Daylight,0,16.492121023716713,81.21353154606672,Telangana
Rainy,City Road,Morning,3,31,18,0,Moderate,Icy,Car,31,6,Daylight,1,15.854238132911705,79.60536814587657,Telangana
Clear,City Road,Afternoon,3,107,11,0,Moderate,Dry,Bus,43,20,Daylight,1,16.33698879373196,79.59116491327492,Andhra Pradesh
Foggy,City Road,Afternoon,2,98,11,0,Low,Icy,Bike,41,17,Daylight,0,16.22047837415326,77.95820527742528,Andhra Pradesh
Clear,Highway,Evening,1,81,18,1,High,Icy,Car,66,45,Artificial Light,1,16.965155612418087,78.55815206712897,Telangana
Rainy,Highway,Night,3,82,4,0,High,Icy,Bike,64,45,Artificial Light,1,17.345921117106965,79.0486071508104,Telangana
Rainy,Rural Road,Evening,1,32,3,0,Low,Dry,Car,50,29,Daylight,0,16.819759526732884,82.91936332325096,Andhra Pradesh
Rainy,Rural Road,Morning,2,77,3,0,Low,Dry,Bus,21,0,Daylight,0,17.120616964209095,82.26170795712154,Andhra Pradesh
Foggy,City Road,Night,3,58,15,0,Moderate,Icy,Car,69,47,Artificial Light,1,15.848673083096818,78.9847290197442,Andhra Pradesh
Clear,Rural Road,Afternoon,1,106,6,0,Low,Icy,Bus,55,31,Daylight,0,16.4386703683787,79.77111312439322,Telangana
Foggy,Highway,Night,2,126,13,1,High,Wet,Car,48,26,Daylight,1,17.254726353593302,81.94730785601486,Andhra Pradesh
Foggy,Rural Road,Morning,1,126,2,0,Low,Dry,Truck,20,0,Artificial Light,0,17.047976198939942,83.84477313543272,Andhra Pradesh
Foggy,City Road,Night,2,125,7,0,Moderate,Dry,Truck,25,1,Artificial Light,1,14.880817635631349,77.59913025058114,Andhra Pradesh
Rainy,City Road,Afternoon,2,30,4,0,Moderate,Wet,Car,50,25,Artificial Light,0,17.28443558686708,83.8172289428923,Andhra Pradesh
Rainy,City Road,Evening,2,41,1,0,Low,Icy,Truck,68,49,Daylight,0,18.027031687336425,80.88038888781142,Andhra Pradesh
Rainy,Highway,Afternoon,1,42,2,0,Low,Icy,Car,36,18,Daylight,0,14.954041247772837,79.28303943946783,Andhra Pradesh
Clear,Rural Road,Night,2,38,1,0,Low,Wet,Truck,59,41,Artificial Light,0,17.75533775431762,81.17205629659013,Andhra Pradesh
Rainy,Rural Road,Evening,3,111,4,1,High,Dry,Bus,54,32,Daylight,1,18.376128279136264,83.71176547266552,Andhra Pradesh
Rainy,City Road,Evening,1,125,7,0,Moderate,Icy,Car,29,9,Artificial Light,1,15.563583625416484,79.35901688579744,Andhra Pradesh
Rainy,Rural Road,Night,2,62,10,0,Moderate,Wet,Truck,44,23,Daylight,1,17.16957808378136,81.59796093665005,Andhra Pradesh
Foggy,Highway,Afternoon,1,38,9,0,Low,Dry,Car,25,0,Artificial Light,0,14.889894433676602,77.84156559778046,Andhra Pradesh
Clear,Rural Road,Morning,3,109,18,1,High,Dry,Bus,25,5,Artificial Light,1,18.128767841338163,81.8374322306099,Andhra Pradesh
Rainy,City Road,Morning,3,62,15,0,Moderate,Dry,Bus,33,9,Artificial Light,1,16.893376394625648,81.33119156809285,Andhra Pradesh
Clear,Rural Road,Night,1,61,6,0,Low,Dry,Truck,29,11,Daylight,0,17.78559014101262,82.60330919588202,Andhra Pradesh
Clear,Highway,Evening,3,62,18,0,Low,Dry,Car,35,16,Daylight,0,14.906254961328782,79.39519459932394,Andhra Pradesh
Rainy,City Road,Evening,1,43,3,0,Low,Wet,Bike,62,40,Daylight,1,17.438081495036307,83.30328552539501,Andhra Pradesh
Foggy,Highway,Morning,2,110,4,0,Low,Wet,Truck,67,45,Daylight,0,16.53865045570374,77.71635663458169,Telangana
Clear,Highway,Morning,3,70,7,0,Low,Icy,Car,22,4,Artificial Light,0,14.85732415689799,79.07290128729078,Andhra Pradesh
Rainy,City Road,Night,1,108,13,0,Low,Dry,Bus,63,38,Daylight,0,15.903929277482149,80.44322037552442,Telangana
Clear,Highway,Morning,3,32,3,0,Low,Icy,Bus,57,37,Daylight,0,16.61148170717488,82.63434466541841,Andhra Pradesh
Rainy,Highway,Morning,2,121,19,1,High,Icy,Bus,50,32,Daylight,1,16.78729564590001,79.01799403764385,Telangana
Clear,Highway,Morning,1,107,14,0,Low,Icy,Truck,36,12,Artificial Light,0,16.130381330374707,77.89166728014625,Telangana
Clear,Highway,Afternoon,3,89,14,0,Moderate,Icy,Car,40,20,Artificial Light,1,16.679519001120315,83.6878919264021,Andhra Pradesh
Foggy,Highway,Night,2,122,2,0,Moderate,Icy,Bus,34,10,Daylight,1,17.467720437728623,80.93136610346393,Andhra Pradesh
Clear,City Road,Afternoon,3,99,19,0,Moderate,Wet,Truck,65,44,Daylight,0,18.35211911963653,81.06593093645895,Andhra Pradesh
Rainy,Highway,Night,1,95,10,0,Moderate,Dry,Truck,26,5,Daylight,1,14.514485942473554,79.20560204947371,Andhra Pradesh
Rainy,City Road,Morning,1,47,6,0,Moderate,Icy,Truck,25,3,Daylight,1,18.041376786078978,81.35705001970477,Telangana
Rainy,Rural Road,Evening,1,42,15,0,Low,Wet,Car,39,21,Daylight,0,18.071372347562836,79.71242833003465,Telangana
Foggy,Highway,Evening,2,64,13,0,Low,Wet,Bike,25,4,Daylight,0,16.60137780151044,77.9812780016428,Telangana
Foggy,Rural Road,Afternoon,2,42,1,0,Low,Dry,Truck,50,29,Artificial Light,0,14.819595497125086,78.35578918641465,Andhra Pradesh
Rainy,City Road,Evening,1,116,1,0,Moderate,Dry,Car,59,37,Daylight,1,18.91527699955639,78.7924703673872,Telangana
Rainy,City Road,Night,3,128,7,0,Low,Wet,Car,42,17,Daylight,0,19.70345603121991,80.66826051429436,Telangana
Foggy,Rural Road,Night,2,46,2,0,Low,Wet,Bike,52,29,Artificial Light,0,18.261790321089507,80.67362067922319,Andhra Pradesh
Clear,City Road,Evening,2,67,15,0,Low,Dry,Bike,34,11,Artificial Light,0,17.43007266844182,81.29442488815032,Andhra Pradesh
Foggy,City Road,Night,3,106,19,1,High,Wet,Bus,62,41,Daylight,1,18.85001126793882,81.52027774595251,Telangana
Foggy,Rural Road,Morning,2,84,13,0,Low,Icy,Bus,48,23,Artificial Light,0,17.18426520022379,83.86542756248149,Andhra Pradesh
Rainy,City Road,Afternoon,3,102,7,0,Moderate,Icy,Bus,58,33,Daylight,1,17.62389497459292,79.49852748211164,Telangana
Rainy,Highway,Night,2,67,11,0,Moderate,Icy,Bus,30,7,Daylight,1,18.319096946024278,82.49134419148648,Andhra Pradesh
Rainy,Highway,Morning,3,64,13,0,Moderate,Icy,Car,55,37,Artificial Light,1,18.92491580744474,81.01549157624918,Telangana
Foggy,Rural Road,Evening,3,106,12,0,Moderate,Dry,Truck,33,15,Daylight,1,17.36738866264076,83.46965121042193,Andhra Pradesh
Rainy,Rural Road,Evening,3,30,7,0,Moderate,Dry,Car,43,19,Daylight,1,18.087870266903703,83.79347312901054,Andhra Pradesh
Foggy,City Road,Night,3,80,17,0,Moderate,Dry,Bike,44,22,Daylight,1,15.854068218629722,79.3517238176946,Andhra Pradesh
Foggy,Highway,Night,3,35,1,0,Moderate,Icy,Car,46,24,Artificial Light,1,19.264662560476232,79.05675068792695,Telangana
Rainy,Highway,Morning,1,46,17,1,High,Dry,Bike,61,38,Artificial Light,1,16.010180182621593,79.08881847481268,Telangana
Foggy,Rural Road,Night,2,32,6,0,Low,Wet,Bus,45,21,Artificial Light,0,15.125875964451982,79.22261524697892,Andhra Pradesh
Foggy,Highway,Night,1,84,19,1,High,Icy,Bike,68,46,Artificial Light,1,17.76948828220806,81.15246931698891,Andhra Pradesh
Clear,Highway,Morning,1,70,10,0,Low,Wet,Bus,22,0,Daylight,0,18.872414690244323,79.76477105342123,Telangana
Rainy,Highway,Evening,1,64,8,0,High,Dry,Bike,39,17,Artificial Light,1,17.083822346995614,83.12013048003641,Andhra Pradesh
Foggy,Rural Road,Morning,2,113,18,0,Low,Dry,Car,43,18,Daylight,0,17.778665066212234,78.21534776984744,Telangana
Rainy,Rural Road,Evening,2,107,4,0,Moderate,Icy,Truck,25,6,Artificial Light,1,15.78781254954222,79.70141011484152,Andhra Pradesh
Rainy,Rural Road,Evening,2,58,9,0,Low,Wet,Bike,54,33,Daylight,0,17.450200681383443,83.64284325664757,Andhra Pradesh
Rainy,Rural Road,Afternoon,1,122,14,0,Moderate,Icy,Bike,27,7,Artificial Light,0,17.914557823811336,81.38260507123435,Andhra Pradesh
Foggy,Highway,Afternoon,1,76,3,0,Low,Icy,Bike,36,18,Daylight,0,16.74689973162071,81.22093012556937,Andhra Pradesh
Clear,Rural Road,Afternoon,1,118,7,0,Low,Wet,Bus,38,16,Artificial Light,0,15.803868002597287,77.3845457427487,Telangana
Clear,City Road,Evening,2,104,2,0,Low,Wet,Car,40,22,Artificial Light,0,14.605884237841906,79.0256146318592,Andhra Pradesh
Rainy,Highway,Morning,3,46,9,0,Moderate,Dry,Truck,53,28,Daylight,1,15.37665114809141,77.8522323501931,Andhra Pradesh
Rainy,City Road,Morning,2,122,6,0,Moderate,Dry,Bus,69,50,Daylight,1,18.78527739307828,80.02118162746804,Telangana
Rainy,City Road,Night,2,118,8,1,High,Icy,Bike,68,50,Artificial Light,1,15.924366557142719,79.74344384567492,Andhra Pradesh
Rainy,City Road,Evening,2,110,14,0,Moderate,Icy,Bike,56,38,Artificial Light,1,17.183282225381205,82.76962594915084,Andhra Pradesh
Foggy,Highway,Morning,3,68,9,0,Low,Icy,Truck,47,25,Daylight,0,16.08060690789477,81.41776739611146,Telangana
Clear,City Road,Afternoon,1,91,5,0,Low,Wet,Car,21,0,Daylight,0,17.155685675771636,83.35510883219142,Andhra Pradesh
Clear,City Road,Morning,3,39,6,0,Low,Dry,Bike,23,0,Daylight,0,17.287271040554884,82.15702480781258,Andhra Pradesh
Foggy,City Road,Morning,3,77,19,0,Low,Wet,Bike,53,30,Daylight,0,19.303644312128938,78.7980206144815,Telangana
Clear,Rural Road,Morning,1,110,15,0,Low,Wet,Bus,48,28,Artificial Light,0,14.22033607744173,79.28663640557986,Andhra Pradesh
Rainy,City Road,Night,3,84,6,1,High,Dry,Bus,60,38,Artificial Light,1,14.454544132093346,78.48979702445607,Andhra Pradesh
Foggy,Highway,Morning,2,85,12,0,Low,Icy,Car,27,3,Artificial Light,0,17.913208257988437,82.37371718821579,Andhra Pradesh
Rainy,Highway,Afternoon,1,58,16,0,Low,Wet,Bus,52,34,Artificial Light,0,18.404825721504118,78.1234887446942,Telangana
Clear,Highway,Evening,1,63,7,0,Low,Icy,Truck,33,11,Daylight,0,16.582994651019813,81.62723637318506,Andhra Pradesh
Foggy,City Road,Evening,1,71,2,0,Low,Icy,Bus,18,0,Daylight,0,18.21586982799466,82.83424606610538,Andhra Pradesh
Foggy,City Road,Night,3,117,7,0,Moderate,Dry,Truck,49,24,Daylight,1,17.58512492593898,81.67966453765246,Telangana
Rainy,Rural Road,Morning,2,85,2,0,Moderate,Wet,Bus,22,2,Daylight,1,18.74890532236091,81.57177645345399,Telangana
Foggy,City Road,Afternoon,2,65,1,1,Moderate,Dry,Truck,24,6,Artificial Light,1,17.017808549586277,80.68489340227653,Andhra Pradesh
Rainy,Rural Road,Night,3,92,10,0,High,Dry,Truck,58,34,Artificial Light,1,14.303257495013835,78.19638279502553,Andhra Pradesh
Rainy,Highway,Morning,2,112,17,0,Moderate,Dry,Bike,62,37,Daylight,1,17.628833175559496,82.60204118945498,Andhra Pradesh
Foggy,Rural Road,Morning,1,71,13,1,Moderate,Dry,Bike,37,18,Artificial Light,1,16.481646854433773,78.98476580266176,Telangana
Rainy,Rural Road,Morning,2,31,18,0,Low,Icy,Bike,26,3,Artificial Light,0,16.424547161584464,79.17355161670928,Andhra Pradesh
Rainy,City Road,Evening,3,109,19,0,High,Wet,Bus,35,16,Daylight,0,15.905530145785443,78.86094902845252,Andhra Pradesh
Clear,Rural Road,Afternoon,3,120,7,0,Moderate,Dry,Bike,54,31,Daylight,1,16.58729581345901,80.33342256389481,Telangana
Foggy,Rural Road,Afternoon,2,99,5,0,Low,Dry,Bike,67,45,Daylight,0,18.35585622043562,80.03160510114915,Telangana
Clear,Highway,Afternoon,3,77,12,0,Low,Icy,Bike,50,26,Artificial Light,0,17.557313207978552,81.67054884491337,Andhra Pradesh
Clear,City Road,Night,3,102,10,0,Low,Wet,Bus,60,42,Daylight,1,17.929182039833442,78.12851275668885,Telangana
Rainy,Highway,Morning,2,121,6,1,High,Dry,Bike,24,1,Daylight,1,14.46444238674677,77.69542246674577,Andhra Pradesh
Foggy,City Road,Evening,2,59,2,0,Low,Icy,Truck,52,28,Artificial Light,0,17.588608708064346,80.2940449656785,Telangana
Foggy,Highway,Afternoon,3,121,12,0,High,Dry,Car,61,41,Artificial Light,0,17.053508263902618,82.45359914361654,Andhra Pradesh
Foggy,City Road,Night,3,122,16,1,High,Dry,Bike,59,35,Daylight,1,18.365735380253266,83.7292579886125,Andhra Pradesh
Rainy,Rural Road,Morning,1,47,12,0,High,Dry,Truck,68,47,Daylight,1,17.85972446188559,78.74105477188581,Telangana
Foggy,Highway,Evening,1,113,14,0,Low,Wet,Bus,23,3,Artificial Light,0,14.091782358707666,78.5919687139004,Andhra Pradesh
Foggy,City Road,Evening,1,37,8,0,Low,Wet,Car,20,0,Artificial Light,0,18.341071770205108,80.54201059545439,Andhra Pradesh
Foggy,Highway,Morning,1,121,10,0,Low,Wet,Car,63,40,Artificial Light,0,18.06654099044523,80.68111883101315,Telangana
Foggy,Highway,Evening,3,84,13,1,High,Icy,Car,52,27,Daylight,1,17.78857374884857,77.6013942417648,Telangana
Clear,City Road,Evening,2,88,7,0,Low,Icy,Truck,68,45,Daylight,0,15.295026078440245,78.91262836193373,Andhra Pradesh
